,Origin,Destination,Distance,StDateyear,StDatemonth,StDateweek,StDateday,StDatedayofweek,Delay,ETA,PREDICTED_TIME_LINEAR,PREDICTED_TIME_LASSO,PREDICTED_TIME_RIDGE
3851,20,13,481.93501849999996,2017,8,31,6,6,6,3,5.958763422564742,5.922307621351118,5.910651004085684
3852,13,11,134.246,2017,6,24,17,5,6,5,5.801931867162159,5.744355886896617,5.7430217526812175
3853,11,14,746.6292581,2017,6,26,28,2,6,4,7.971956475429055,7.9821296573105975,7.991748578253562
3854,16,20,5254.9012060000005,2018,11,44,3,5,3,24,22.14517383644656,22.199968443093837,22.188043966638133
3855,20,13,481.93501849999996,2018,7,27,4,2,6,6,5.946887673445895,5.971635063573338,5.978380221823857
3856,13,14,872.8668682,2018,4,16,19,3,6,7,8.237238742472892,8.178629982718538,8.189431843479886
3857,16,20,5254.9012060000005,2018,4,13,1,6,3,24,22.340639201011705,22.229380862749128,22.21493811344051
3858,20,13,481.93501849999996,2018,1,5,31,2,6,5,6.061108338364042,5.985496354096197,5.996494496157377
3859,13,11,134.246,2018,11,44,2,4,6,6,5.690609094312185,5.7432085460215525,5.749642633852863
3860,11,14,746.6292581,2018,2,8,23,4,6,4,8.11354530261936,7.994810618647868,8.005934088083533
3861,15,20,5254.9634,2019,6,23,9,6,2,22,22.236182404311393,22.176169653610444,22.164760167826635
3862,20,13,481.93501849999996,2019,9,40,30,0,6,5,5.841084859197503,5.9665753881785335,5.987974233292887
3863,13,14,872.8668682,2019,11,45,10,6,6,5,8.114794479967658,8.12474903738882,8.130838884686591
3864,15,20,5254.9634,2015,12,50,7,0,2,21,21.974966985611232,22.18461320173935,22.170555938119975
3865,20,13,481.93501849999996,2015,4,15,8,2,6,7,5.9898620536083325,5.973177293538706,5.9667374024273965
3866,13,11,134.246,2015,8,34,17,0,6,6,5.669347311907904,5.77380219341784,5.7797337111730425
3867,11,14,746.6292581,2015,8,35,29,5,6,6,7.935868922210544,7.935610339252593,7.9273893014469206
3868,19,23,4247.728669,2019,2,8,20,2,5,18,18.583323200778338,18.517032126230166,18.528476307516137
3869,23,20,644.2606097,2019,3,11,15,4,6,6,5.816427120980441,5.723417960637237,5.726358987644202
3870,20,13,481.93501849999996,2019,3,13,27,2,6,5,6.02480866675071,5.981635124836215,5.996794006417572
3871,13,14,872.8668682,2019,7,27,4,3,6,5,8.190190060993684,8.178250771996199,8.193304095850648
3872,14,10,46.8502718,2019,4,16,18,3,6,2,5.468028327106685,5.409796987761742,5.426994701133692
3873,19,23,4247.728669,2018,12,52,24,0,5,16,18.28885193583151,18.472797176737156,18.48170977139136
3874,23,20,644.2606097,2019,1,3,14,0,6,7,5.81915987891278,5.773696933466267,5.790850444430623
3875,20,13,481.93501849999996,2019,1,4,27,6,6,5,6.1240384267187995,5.9559484730860195,5.96021422790553
3876,13,11,134.246,2019,7,27,2,1,6,4,5.765549742117374,5.797526178904738,5.819491010022917
3877,11,14,746.6292581,2019,2,7,17,6,6,5,8.154873893891468,7.985523982616435,7.996066992721532
3878,14,10,46.8502718,2019,2,9,28,3,6,4,5.503873065499173,5.414474115297532,5.434078355879494
3879,17,18,688.4059453,2016,3,11,17,3,4,7,6.47621373914056,6.425374696051579,6.410432300394424
3880,18,21,628.8036587,2016,3,13,28,0,6,6,6.262865017215644,6.266533191678485,6.268067729429651
3881,21,20,10098.332209999999,2016,9,35,4,6,6,39,39.034612774199125,39.00702913552992,38.991518616917816
3882,20,13,481.93501849999996,2016,5,21,24,1,6,5,5.940866206641056,5.9669482273295,5.966300691137411
3883,13,14,872.8668682,2016,4,14,6,2,6,7,8.227347860373248,8.187128808656299,8.187872099912811
3884,14,10,46.8502718,2016,6,24,17,4,6,5,5.405687364079677,5.374848845276283,5.370088212963685
3885,17,18,688.4059453,2017,6,22,1,3,4,6,6.430016198652469,6.426307847184306,6.416234089306391
3886,18,21,628.8036587,2017,1,3,16,0,6,6,6.338618877207894,6.292343638833092,6.300860374225147
3887,21,20,10098.332209999999,2017,1,4,28,5,6,39,39.201142113889695,39.04781505479579,39.045262056607214
3888,20,13,481.93501849999996,2017,3,11,14,1,6,7,6.0149177846510735,5.990133950773975,5.9952342628505
3889,13,11,134.246,2017,3,13,27,0,6,2,5.803761745427936,5.79997110182231,5.815217517260789
3890,11,14,746.6292581,2017,4,14,4,1,6,3,8.045753251823742,8.01970946030439,8.031087027666503
3891,14,10,46.8502718,2017,4,15,13,3,6,6,5.45884717984322,5.403085835874378,5.407646914860775
3892,18,21,628.8036587,2019,2,9,25,0,6,5,6.316017846204064,6.291065736731531,6.312688453545581
3893,21,20,10098.332209999999,2019,8,31,3,5,6,38,39.07441143167288,39.03775521750714,39.04355731785506
3894,20,13,481.93501849999996,2019,4,16,21,6,6,3,6.056411510059016,5.943282291561305,5.945610866207245
3895,13,14,872.8668682,2019,4,18,30,1,6,8,8.205091298464248,8.194627770637336,8.218646725114803
3896,14,10,46.8502718,2019,5,20,14,1,6,4,5.423884524470777,5.425836172232248,5.448540086790777
3897,18,21,628.8036587,2017,10,43,26,3,6,8,6.130329741005257,6.207572891013015,6.204893314375431
3898,21,20,10098.332209999999,2017,9,37,11,0,6,40,38.95926233602518,39.06354941340619,39.07355984433242
3899,20,13,481.93501849999996,2017,12,52,25,0,6,3,5.755036922560221,5.943431061285766,5.9513711656019606
3900,13,11,134.246,2018,3,9,1,3,6,3,5.886164126356826,5.795791909308763,5.8058882042366395
3901,11,14,746.6292581,2018,12,48,1,5,6,7,7.901476418601421,7.946396476641308,7.949838238934602
3902,14,10,46.8502718,2018,1,4,25,3,6,2,5.526019163282159,5.416567915674898,5.429633441565057
3903,16,20,5254.9012060000005,2019,2,8,23,5,3,24,22.355137243936873,22.239925155714342,22.2380300633763
3904,20,13,481.93501849999996,2019,3,12,22,4,6,7,6.056501177538513,5.966453235193223,5.974962289788651
3905,13,14,872.8668682,2019,4,14,4,3,6,4,8.267056850367505,8.194683947001602,8.210559377268654
3906,14,10,46.8502718,2019,4,15,14,6,6,4,5.510521586435813,5.384484475629377,5.391956398059845
3907,16,20,5254.9012060000005,2018,4,14,5,3,3,23,22.298145941682584,22.25469337488149,22.24997641651435
3908,20,13,481.93501849999996,2018,5,22,30,2,6,7,5.960848102445846,5.9635287567274915,5.9724418909654045
3909,13,11,134.246,2018,12,49,6,3,6,4,5.647175026512448,5.7440377526669355,5.753399976804099
3910,11,14,746.6292581,2018,6,25,22,4,6,7,8.013285066701163,7.972843021279163,7.981881482891561
3911,14,10,46.8502718,2018,5,19,7,0,6,2,5.413538709150293,5.435150896445814,5.454363508229703
